reclat,reclon, 
42.95797,-78.8192, 
42.95797,-78.81919, 
42.95797,-78.81918, 
42.95798,-78.81916, 
42.95798,-78.81914, 
42.95797,-78.81914, 
42.95796,-78.81915, 
42.95796,-78.81916, 
42.95797,-78.81916, 
42.95798,-78.81914, 
42.95797,-78.81913, 
42.95796,-78.81914, 
42.95796,-78.81915, 
42.95797,-78.81915, 
42.95797,-78.81913, 
42.95797,-78.81912, 
42.95796,-78.81912, 
42.95796,-78.81913, 
42.95796,-78.81914, 
42.95797,-78.81914, 
42.95798,-78.81914, 
42.958,-78.81913, 
42.95801,-78.81912, 
42.95803,-78.81911, 
42.95804,-78.81911, 
42.95806,-78.8191, 
42.95807,-78.81909, 
42.95809,-78.81908, 
42.9581,-78.81908, 
42.95811,-78.81906, 
42.95812,-78.81905, 
42.95813,-78.81905, 
42.95814,-78.81905, 
42.95814,-78.81906, 
42.95814,-78.81906, 
42.95813,-78.81905, 
42.95814,-78.81904, 
42.95815,-78.81904, 
42.95815,-78.81905, 
42.95815,-78.81906, 
42.95814,-78.81905, 
42.95814,-78.81903, 
42.95813,-78.81902, 
42.95813,-78.81903, 
42.95812,-78.81903, 
42.95812,-78.81903, 
42.95812,-78.81902, 
42.95812,-78.819, 
42.95812,-78.81899, 
42.95812,-78.81897, 
42.95812,-78.81896, 
42.95811,-78.81895, 
42.95811,-78.81894, 
42.95811,-78.81892, 
42.9581,-78.81891, 
42.9581,-78.8189, 
42.95809,-78.81889, 
42.95808,-78.81888, 
42.95808,-78.81887, 
42.95807,-78.81885, 
42.95806,-78.81884, 
42.95806,-78.81883, 
42.95805,-78.81881, 
42.95805,-78.8188, 
42.95804,-78.81879, 
42.95803,-78.81877, 
42.95803,-78.81876, 
42.95802,-78.81875, 
42.95802,-78.81874, 
42.95801,-78.81873, 
42.958,-78.81872, 
42.95799,-78.81871, 
42.95799,-78.81869, 
42.95798,-78.81868, 
42.95797,-78.81866, 
42.95797,-78.81865, 
42.95796,-78.81863, 
42.95796,-78.81862, 
42.95795,-78.81861, 
42.95795,-78.81859, 
42.95795,-78.81858, 
42.95795,-78.81856, 
42.95795,-78.81854, 
42.95795,-78.81852, 
42.95795,-78.81851, 
42.95795,-78.81849, 
42.95796,-78.81848, 
42.95796,-78.81846, 
42.95796,-78.81845, 
42.95796,-78.81843, 
42.95797,-78.81842, 
42.95797,-78.81841, 
42.95798,-78.81839, 
42.95798,-78.81838, 
42.95798,-78.81837, 
42.95799,-78.81835, 
42.958,-78.81834, 
42.958,-78.81833, 
42.95801,-78.81831, 
42.95801,-78.8183, 
42.95801,-78.81828, 
42.95801,-78.81826, 
42.95802,-78.81825, 
42.95802,-78.81823, 
42.95802,-78.81821, 
42.95802,-78.81819, 
42.95802,-78.81818, 
42.95803,-78.81816, 
42.95803,-78.81814, 
42.95804,-78.81813, 
42.95804,-78.81811, 
42.95805,-78.8181, 
42.95805,-78.81808, 
42.95806,-78.81807, 
42.95807,-78.81805, 
42.95807,-78.81804, 
42.95808,-78.81803, 
42.95808,-78.81801, 
42.95809,-78.818, 
42.95809,-78.81798, 
42.9581,-78.81797, 
42.9581,-78.81795, 
42.95811,-78.81794, 
42.95812,-78.81793, 
42.95812,-78.81791, 
42.95813,-78.8179, 
42.95814,-78.81788, 
42.95814,-78.81787, 
42.95815,-78.81785, 
42.95816,-78.81783, 
42.95816,-78.81782, 
42.95817,-78.8178, 
42.95817,-78.81779, 
42.95818,-78.81778, 
42.95819,-78.81777, 
42.95819,-78.81776, 
42.9582,-78.81775, 
42.95821,-78.81773, 
42.95822,-78.81771, 
42.95822,-78.81769, 
42.95823,-78.81768, 
42.95824,-78.81766, 
42.95824,-78.81764, 
42.95824,-78.81762, 
42.95825,-78.8176, 
42.95826,-78.81759, 
42.95827,-78.81758, 
42.95828,-78.81756, 
42.95829,-78.81755, 
42.9583,-78.81753, 
42.9583,-78.81751, 
42.9583,-78.81749, 
42.9583,-78.81747, 
42.9583,-78.81745, 
42.9583,-78.81743, 
42.9583,-78.81741, 
42.95831,-78.8174, 
42.95831,-78.81738, 
42.95832,-78.81737, 
42.95833,-78.81735, 
42.95834,-78.81733, 
42.95834,-78.81732, 
42.95834,-78.8173, 
42.95835,-78.81729, 
42.95835,-78.81727, 
42.95835,-78.81725, 
42.95836,-78.81724, 
42.95837,-78.81722, 
42.95837,-78.8172, 
42.95838,-78.81719, 
42.95839,-78.81717, 
42.95839,-78.81716, 
42.9584,-78.81714, 
42.95841,-78.81713, 
42.95841,-78.81712, 
42.95841,-78.8171, 
42.95842,-78.81709, 
42.95843,-78.81708, 
42.95843,-78.81706, 
42.95843,-78.81705, 
42.95844,-78.81704, 
42.95844,-78.81702, 
42.95844,-78.81701, 
42.95845,-78.81699, 
42.95845,-78.81698, 
42.95846,-78.81696, 
42.95846,-78.81695, 
42.95847,-78.81693, 
42.95848,-78.81692, 
42.95849,-78.81691, 
42.95849,-78.8169, 
42.9585,-78.81688, 
42.9585,-78.81686, 
42.9585,-78.81685, 
42.95849,-78.81683, 
42.95849,-78.81682, 
42.9585,-78.81681, 
42.9585,-78.8168, 
42.9585,-78.81678, 
42.95851,-78.81677, 
42.95851,-78.81676, 
42.95852,-78.81675, 
42.95853,-78.81674, 
42.95854,-78.81673, 
42.95854,-78.81671, 
42.95855,-78.8167, 
42.95855,-78.81668, 
42.95856,-78.81667, 
42.95857,-78.81666, 
42.95857,-78.81665, 
42.95858,-78.81664, 
42.95859,-78.81662, 
42.9586,-78.81661, 
42.95861,-78.8166, 
42.95862,-78.81659, 
42.95862,-78.81658, 
42.95863,-78.81657, 
42.95864,-78.81655, 
42.95865,-78.81654, 
42.95865,-78.81652, 
42.95866,-78.8165, 
42.95866,-78.81649, 
42.95867,-78.81647, 
42.95868,-78.81645, 
42.95868,-78.81643, 
42.95869,-78.81642, 
42.9587,-78.8164, 
42.95871,-78.81639, 
42.95872,-78.81638, 
42.95872,-78.81636, 
42.95873,-78.81635, 
42.95874,-78.81634, 
42.95875,-78.81632, 
42.95876,-78.81631, 
42.95876,-78.8163, 
42.95877,-78.81629, 
42.95877,-78.81628, 
42.95878,-78.81627, 
42.95878,-78.81625, 
42.95879,-78.81624, 
42.95879,-78.81622, 
42.95879,-78.81621, 
42.95878,-78.81619, 
42.95877,-78.81618, 
42.95876,-78.81617, 
42.95875,-78.81616, 
42.95873,-78.81615, 
42.95873,-78.81616, 
42.95873,-78.81617, 
42.95874,-78.81618, 
42.95875,-78.81619, 
42.95876,-78.81619, 
42.95877,-78.81619, 
42.95877,-78.8162, 
42.95876,-78.81621, 
42.95876,-78.81623, 
42.95876,-78.81624, 
42.95877,-78.81623, 
42.95878,-78.81622, 
42.95878,-78.8162, 
42.95878,-78.81619, 
42.95877,-78.8162, 
42.95878,-78.81621, 
42.95878,-78.81621, 
42.95879,-78.81621, 
42.9588,-78.81622, 
42.95881,-78.81623, 
42.95881,-78.81623, 
42.95882,-78.81622, 
42.95883,-78.81621, 
42.95883,-78.8162, 
42.95884,-78.81618, 
42.95884,-78.81617, 
42.95884,-78.81615, 
42.95884,-78.81614, 
42.95884,-78.81612, 
42.95884,-78.8161, 
42.95884,-78.81609, 
42.95884,-78.81607, 
42.95884,-78.81605, 
42.95885,-78.81603, 
42.95885,-78.81602, 
42.95885,-78.816, 
42.95886,-78.81598, 
42.95886,-78.81597, 
42.95887,-78.81595, 
42.95887,-78.81593, 
42.95887,-78.81592, 
42.95887,-78.8159, 
42.95888,-78.81589, 
42.95888,-78.81587, 
42.95888,-78.81586, 
42.95889,-78.81585, 
42.95889,-78.81584, 
42.9589,-78.81583, 
42.95891,-78.81582, 
42.95892,-78.81581, 
42.95892,-78.8158, 
42.95893,-78.81579, 
42.95893,-78.81577, 
42.95893,-78.81576, 
42.95894,-78.81574, 
42.95894,-78.81573, 
42.95895,-78.81571, 
42.95895,-78.8157, 
42.95896,-78.81569, 
42.95897,-78.81568, 
